,Code,Description
571,19602,Guy-America Airways Inc.: HX (1)
572,19603,Pacific Express: VB (1)
573,19604,Northeastern International Airways: QS (1)
574,19605,Friendship Air Alaska: HAR
575,19606,Minuteman Aviation Inc.: MIN
576,19607,Virgin Islands Seaplane: VIS
577,19608,Flying Tiger Line Inc.: FT
578,19609,Aerocondor: OD (1)
579,19610,Emerald Airlines Inc.: OD
580,19611,Northern Airlines Inc.: NRN
581,19612,Pacific East Air Inc.: 6P
582,19613,Jet Charter Service Inc.: TJ
583,19614,Aeroservicios Ecuatorianos: EOQ
584,19615,Arista International Airlines Inc.: RAQ
585,19616,Kuwait Airways Corp.: KU
586,19617,Burlington Aeroplane Co.: BAY
587,19618,Desert Sun Airlines: DSA
588,19619,Lake Union Air Service: LAS
589,19620,Aer Turas Teoranta: QTQ
590,19621,Aero B Venezuela C.A.: AFQ
591,19622,Air Ontario Limited: GX
592,19623,Aer Lingus Plc: EI
593,19624,Saudi Arabian Airlines Corp: SV
594,19625,Air Polynesia d/b/a DHL Cargo: XAB
595,19626,Air Natl Aircraft Sal & Ser: XBZ
596,19627,A/S Conair: CIQ
597,19628,Dash Air Corporation: ANI
598,19629,Air Resorts Airlines: ARA
599,19630,Manu'a Air Transport: MUA
600,19631,Pacific Cal Air: PCL
601,19632,Service Aviation Inc.: SER
602,19633,The Time Machine: TTM
603,19634,Servicio De Carga Aerea Sa: CMQ
604,19635,Hapag Lloyd Flug.: HAQ
605,19636,Air One Inc.: CB
606,19637,Middle East Airlines S.A.L.: ME
607,19638,Arcata Flying Service: AFS
608,19639,Grand Canyon Airlines: GRD
609,19640,Kodiak Airways Inc.: KOD
610,19641,Mid-Atlantic Exp. Airlines: MAE
611,19642,National Commuter Airlines: NCA
612,19643,Sundorph Aeronautical Corp.: SAC
613,19644,Waring Air: WAR
614,19645,All Star Airlines Inc.: EP
615,19646,Aeron International Airlines Inc.: AXQ
616,19647,Jet Fleet Intl. Airlines: JIQ
617,19648,Markair Express: HER
618,19649,Alaska Island Air Inc.: LSZ
619,19650,Air Sunshine Inc.: AAT
620,19651,Eastman Airways Inc.: EAT
621,19652,Spirit Helicopter: SPH
622,19653,Air National: AHQ
623,19654,Executive Charter: EXC (1)
624,19655,Aviation Associates: SNA
625,19656,Airmarc Airlines Inc.: ARM
626,19657,Panorama Air Tours: PAT
627,19658,Trans-Air-Link Corporation: TKQ
628,19659,Audi Air Inc.: AAI
629,19660,Galaxy Airlines Inc.: GAQ
630,19661,Intl Air Service Co. Ltd.: IDQ
631,19662,Transbrasil S.A.: TR
632,19663,Hawkins And Powers Aviation: XCA
633,19664,Jet East Inc.: XBC
634,19665,Air Sedona: ARS
635,19666,Caribbean Express Inc.: CRE
636,19667,Tri-State Airlines Inc.: TFZ
637,19668,Frontier Horizon Inc.: FH
638,19669,Aermediterranea S.P.A.: AWQ
639,19670,Markair Inc.: BF
640,19671,Air Tungaru Corporation: VK
641,19672,Resort Airlines Inc.: RES
642,19673,Alpine Air: AAV
643,19674,Americair Inc.: AME
644,19675,Airspur Helicopters Inc.: ARP
645,19676,Silver Kris Services Ltd.: SKS
646,19677,Buffalo Airways Inc.: BFQ
647,19678,Aloha Airlines Inc.: AQ
648,19679,Air Spirit Inc.: APS
649,19680,Metro Express: EME
650,19681,Frontier Commuter: FRT
651,19682,Virgin Atlantic Airways: VS
652,19683,Airmark Corporation: MKQ
653,19684,Independent Air Inc.: INQ
654,19685,Aerial Transit Company: TPQ
655,19686,Westflight Aviation: WFT
656,19687,Horizon Air: QX
657,19688,Midway Express Airlines: 2M
658,19689,St. Lucia Airways Limited: SDQ
659,19690,Hawaiian Airlines Inc.: HA
660,19691,Pacific Air Express Inc.: XDA
661,19692,Trump Air: RIA
662,19693,North Pacific Airlines Inc.: NPA
663,19694,Flirite Inc.: FLR
664,19695,Talarik Creek Air Taxi: TAT
665,19696,Royale Airlines Inc.: RAY
666,19697,Worldways Canada Ltd.: WWQ
667,19698,Air Charter (Safa): AQQ
668,19699,Samoa Airlines Inc.: MB
669,19700,Alpha Air: APH
670,19701,Jetaire Airlines Inc.: JTA
671,19702,Haiti Air: KB
672,19703,Harbor Air Service: HSV
673,19704,Continental Air Lines Inc.: CO
674,19705,Interstate Airlines Inc.: IRQ
675,19706,Hawaii Pacific Helicopters: CLD
676,19707,Eastern Air Lines Inc.: EA
677,19708,Chisum Flying Service: CSM
678,19709,AvAir: AMR
679,19710,Armstrong Air Service Inc.: AAP
680,19711,Eagle Airline: EGA
681,19712,Business Express Airlines: BEA
682,19713,Alliance Airlines: ACN
683,19714,Astor Air: ASR
684,19715,West Penn Commuter: BAT
685,19716,Barken International: BRK
686,19717,Commuter Airlines (Ca): CMR
687,19718,Cresent Medivac: CRH
688,19719,Coastal Air Transport: CTL
689,19720,Exec Express: EEX
